IsHoliday,Temp,Rain1h,Snow1h,CloudsAll,WeatherMain,WeatherDescription,Time,TrafficVolume
None,266.86,0,0,90,Snow,light snow,2017-12-24 13:00:00,3400
None,266.86,0,0,90,Haze,haze,2017-12-24 13:00:00,3400
None,267.15,0,0,90,Snow,snow,2017-12-24 14:00:00,3694
None,267.15,0,0,90,Fog,fog,2017-12-24 14:00:00,3694
None,267.28,0,0,40,Snow,light snow,2017-12-24 15:00:00,3851
None,266.88,0,0,5,Clear,sky is clear,2017-12-24 16:00:00,3529
None,266.15,0,0,1,Clear,sky is clear,2017-12-24 17:00:00,3196
None,265.22,0,0,75,Snow,light snow,2017-12-24 18:00:00,2549
None,264.15,0,0,75,Snow,light snow,2017-12-24 19:00:00,2339
None,263.22,0,0,75,Snow,light snow,2017-12-24 20:00:00,2460
None,261.86,0,0,75,Snow,light snow,2017-12-24 21:00:00,2576
None,261.86,0,0,75,Mist,mist,2017-12-24 21:00:00,2576
None,261.02,0,0,40,Snow,snow,2017-12-24 22:00:00,2300
None,259.37,0,0,1,Clear,sky is clear,2017-12-24 23:00:00,1565
Christmas Day,257.95,0,0,1,Clear,sky is clear,2017-12-25 00:00:00,1092
None,256.95,0,0,1,Clear,sky is clear,2017-12-25 01:00:00,666
None,256.28,0,0,90,Snow,light snow,2017-12-25 02:00:00,487
None,256.35,0,0,90,Snow,light snow,2017-12-25 03:00:00,349
None,255.93,0,0,40,Clouds,scattered clouds,2017-12-25 04:00:00,339
None,255.68,0,0,75,Clouds,broken clouds,2017-12-25 05:00:00,520
None,256.15,0,0,90,Snow,light snow,2017-12-25 06:00:00,798
None,256.15,0,0,90,Mist,mist,2017-12-25 06:00:00,798
None,255.75,0,0,90,Mist,mist,2017-12-25 07:00:00,942
None,255.75,0,0,90,Haze,haze,2017-12-25 07:00:00,942
None,255.07,0,0,40,Haze,haze,2017-12-25 08:00:00,1260
None,255.07,0,0,40,Snow,light snow,2017-12-25 08:00:00,1260
None,253.86,0,0,20,Haze,haze,2017-12-25 09:00:00,1760
None,253.43,0,0,20,Haze,haze,2017-12-25 10:00:00,2292
None,253.58,0,0,75,Clouds,broken clouds,2017-12-25 11:00:00,2653
None,253.65,0,0,20,Haze,haze,2017-12-25 12:00:00,2957
None,254.15,0,0,75,Clouds,broken clouds,2017-12-25 13:00:00,2983
None,254.29,0,0,40,Clouds,scattered clouds,2017-12-25 14:00:00,2850
None,254.42,0,0,40,Clouds,scattered clouds,2017-12-25 15:00:00,2732
None,254.28,0,0,40,Clouds,scattered clouds,2017-12-25 16:00:00,3045
None,253.51,0,0,40,Clouds,scattered clouds,2017-12-25 17:00:00,3134
None,253.65,0,0,40,Clouds,scattered clouds,2017-12-25 18:00:00,3172
None,253.57,0,0,5,Clear,sky is clear,2017-12-25 19:00:00,3100
None,253.23,0,0,5,Clear,sky is clear,2017-12-25 20:00:00,2875
None,253,0,0,5,Clear,sky is clear,2017-12-25 21:00:00,2404
None,252.76,0,0,1,Clear,sky is clear,2017-12-25 22:00:00,1798
None,252.57,0,0,1,Clear,sky is clear,2017-12-25 23:00:00,1147
None,252,0,0,1,Clear,sky is clear,2017-12-26 00:00:00,539
None,251.86,0,0,1,Clear,sky is clear,2017-12-26 01:00:00,326
None,251.29,0,0,1,Clear,sky is clear,2017-12-26 02:00:00,213
None,251.15,0,0,1,Clear,sky is clear,2017-12-26 03:00:00,261
None,251.15,0,0,1,Clear,sky is clear,2017-12-26 04:00:00,507
None,250.79,0,0,1,Clear,sky is clear,2017-12-26 05:00:00,1761
None,250.43,0,0,1,Clear,sky is clear,2017-12-26 06:00:00,3029
None,250.29,0,0,5,Clear,sky is clear,2017-12-26 07:00:00,3203
None,250.56,0,0,20,Clouds,few clouds,2017-12-26 08:00:00,2982
None,250.61,0,0,1,Clear,sky is clear,2017-12-26 09:00:00,3013
None,251.14,0,0,5,Clear,sky is clear,2017-12-26 10:00:00,3396
None,252.14,0,0,5,Clear,sky is clear,2017-12-26 11:00:00,3983
None,253.29,0,0,1,Clear,sky is clear,2017-12-26 12:00:00,4197
None,254.15,0,0,1,Clear,sky is clear,2017-12-26 13:00:00,4487
None,254.79,0,0,1,Clear,sky is clear,2017-12-26 14:00:00,4828
None,255.36,0,0,1,Clear,sky is clear,2017-12-26 15:00:00,5172
None,255.61,0,0,5,Clear,sky is clear,2017-12-26 16:00:00,5282
None,255.15,0,0,5,Clear,sky is clear,2017-12-26 17:00:00,4561
None,254.57,0,0,5,Clear,sky is clear,2017-12-26 18:00:00,3598
None,253.9,0,0,1,Clear,sky is clear,2017-12-26 19:00:00,2846
None,252.93,0,0,5,Clear,sky is clear,2017-12-26 20:00:00,2369
None,253.53,0,0,5,Clear,sky is clear,2017-12-26 21:00:00,2031
None,252.72,0,0,1,Clear,sky is clear,2017-12-26 22:00:00,1882
None,252.43,0,0,1,Clear,sky is clear,2017-12-26 23:00:00,1065
None,251.84,0,0,1,Clear,sky is clear,2017-12-27 00:00:00,586
None,251.29,0,0,1,Clear,sky is clear,2017-12-27 01:00:00,378
None,251.07,0,0,1,Clear,sky is clear,2017-12-27 02:00:00,272
None,250.68,0,0,1,Clear,sky is clear,2017-12-27 03:00:00,330
None,250.08,0,0,1,Clear,sky is clear,2017-12-27 04:00:00,712
None,249.84,0,0,1,Clear,sky is clear,2017-12-27 05:00:00,2287
None,249.29,0,0,75,Clouds,broken clouds,2017-12-27 06:00:00,4250
None,249.38,0,0,5,Clear,sky is clear,2017-12-27 07:00:00,4453
None,249.3,0,0,5,Clear,sky is clear,2017-12-27 08:00:00,4124
None,249.45,0,0,1,Clear,sky is clear,2017-12-27 09:00:00,3950
None,251.68,0,0,5,Haze,haze,2017-12-27 10:00:00,3858
None,253.07,0,0,5,Clear,sky is clear,2017-12-27 11:00:00,4401
None,254.86,0,0,5,Clear,sky is clear,2017-12-27 12:00:00,4752
None,255.83,0,0,20,Clouds,few clouds,2017-12-27 13:00:00,4836
None,257.21,0,0,20,Clouds,few clouds,2017-12-27 14:00:00,5250
None,257.71,0,0,40,Clouds,scattered clouds,2017-12-27 15:00:00,5398
None,257.38,0,0,40,Clouds,scattered clouds,2017-12-27 16:00:00,5997
None,257.57,0,0,1,Clear,sky is clear,2017-12-27 17:00:00,5397
None,256.14,0,0,75,Clouds,broken clouds,2017-12-27 18:00:00,4295
None,256.32,0,0,75,Clouds,broken clouds,2017-12-27 19:00:00,2941
None,255.73,0,0,40,Clouds,scattered clouds,2017-12-27 20:00:00,2482
None,255.76,0,0,40,Clouds,scattered clouds,2017-12-27 21:00:00,2971
None,256.15,0,0,1,Clear,sky is clear,2017-12-27 22:00:00,3074
None,256.9,0,0,1,Clear,sky is clear,2017-12-27 23:00:00,1310
None,256.76,0,0,40,Snow,light snow,2017-12-28 00:00:00,732
None,256.79,0,0,75,Snow,light snow,2017-12-28 01:00:00,412
None,257.22,0,0,90,Snow,light snow,2017-12-28 02:00:00,288
None,257.29,0,0,90,Snow,light snow,2017-12-28 03:00:00,373
None,257.29,0,0,90,Haze,haze,2017-12-28 03:00:00,373
None,257.48,0,0,90,Snow,light snow,2017-12-28 04:00:00,743
None,257.48,0,0,90,Haze,haze,2017-12-28 04:00:00,743
None,257.43,0,0,90,Snow,light snow,2017-12-28 05:00:00,2217
None,257.43,0,0,90,Mist,mist,2017-12-28 05:00:00,2217
None,257.43,0,0,90,Haze,haze,2017-12-28 05:00:00,2217
None,257.3,0,0,90,Snow,light snow,2017-12-28 06:00:00,3997
None,257.3,0,0,90,Mist,mist,2017-12-28 06:00:00,3997
None,257.3,0,0,90,Haze,haze,2017-12-28 06:00:00,3997
None,257.61,0,0,90,Snow,light snow,2017-12-28 07:00:00,3699
None,257.61,0,0,90,Mist,mist,2017-12-28 07:00:00,3699
None,257.61,0,0,90,Haze,haze,2017-12-28 07:00:00,3699
None,257.57,0,0,90,Snow,light snow,2017-12-28 08:00:00,2745
None,257.57,0,0,90,Mist,mist,2017-12-28 08:00:00,2745
None,257.79,0,0,90,Snow,light snow,2017-12-28 09:00:00,3529
None,257.79,0,0,90,Mist,mist,2017-12-28 09:00:00,3529
None,257.79,0,0,90,Haze,haze,2017-12-28 09:00:00,3529
None,258.3,0,0,90,Snow,light snow,2017-12-28 10:00:00,3562
None,258.3,0,0,90,Mist,mist,2017-12-28 10:00:00,3562
None,258.3,0,0,90,Haze,haze,2017-12-28 10:00:00,3562
None,258.68,0,0,75,Snow,light snow,2017-12-28 11:00:00,3433
None,258.68,0,0,75,Mist,mist,2017-12-28 11:00:00,3433
None,258.68,0,0,75,Haze,haze,2017-12-28 11:00:00,3433
None,259.36,0,0,90,Snow,light snow,2017-12-28 12:00:00,3994
None,259.36,0,0,90,Haze,haze,2017-12-28 12:00:00,3994
None,260.07,0,0,90,Snow,light snow,2017-12-28 13:00:00,3931
None,260.07,0,0,90,Haze,haze,2017-12-28 13:00:00,3931
None,260.29,0,0,90,Snow,light snow,2017-12-28 14:00:00,4308
None,260.29,0,0,90,Haze,haze,2017-12-28 14:00:00,4308
None,260.45,0,0,90,Snow,light snow,2017-12-28 15:00:00,4515
None,260.45,0,0,90,Haze,haze,2017-12-28 15:00:00,4515
None,260.84,0,0,90,Snow,light snow,2017-12-28 16:00:00,5141
None,260.84,0,0,90,Haze,haze,2017-12-28 16:00:00,5141
None,260.65,0,0,90,Snow,light snow,2017-12-28 17:00:00,4520
None,260.65,0,0,90,Haze,haze,2017-12-28 17:00:00,4520
None,260.76,0,0,90,Snow,light snow,2017-12-28 18:00:00,3764
None,260.64,0,0,90,Snow,light snow,2017-12-28 19:00:00,2849
None,260.29,0,0,90,Snow,light snow,2017-12-28 20:00:00,2299
None,260.46,0,0,90,Snow,light snow,2017-12-28 21:00:00,2180
None,260,0,0,90,Snow,light snow,2017-12-28 22:00:00,1916
None,260,0,0,90,Mist,mist,2017-12-28 22:00:00,1916
None,259,0,0,90,Snow,light snow,2017-12-28 23:00:00,1177
None,258.36,0,0,75,Snow,light snow,2017-12-29 00:00:00,741
None,257.07,0,0,75,Snow,light snow,2017-12-29 01:00:00,437
None,256.15,0,0,1,Clear,sky is clear,2017-12-29 02:00:00,358
None,255.57,0,0,20,Clouds,few clouds,2017-12-29 03:00:00,383
None,255.01,0,0,1,Clear,sky is clear,2017-12-29 04:00:00,694
None,254.99,0,0,40,Clouds,scattered clouds,2017-12-29 05:00:00,2207
None,254.61,0,0,1,Clear,sky is clear,2017-12-29 06:00:00,3875
None,254.07,0,0,90,Clouds,overcast clouds,2017-12-29 07:00:00,4148
None,254.53,0,0,90,Clouds,overcast clouds,2017-12-29 08:00:00,3897
None,254.53,0,0,1,Clear,sky is clear,2017-12-29 09:00:00,3845
None,254.64,0,0,90,Haze,haze,2017-12-29 10:00:00,4109
None,254.92,0,0,90,Snow,light snow,2017-12-29 11:00:00,4345
None,255.5,0,0,90,Snow,light snow,2017-12-29 12:00:00,4496
None,255.76,0,0,90,Snow,light snow,2017-12-29 13:00:00,4474
None,256.15,0,0,90,Snow,light snow,2017-12-29 14:00:00,4750
None,256.15,0,0,90,Haze,haze,2017-12-29 14:00:00,4750
None,256.61,0,0,90,Snow,light snow,2017-12-29 15:00:00,4767
None,256.61,0,0,90,Haze,haze,2017-12-29 15:00:00,4767
None,256.58,0,0,90,Snow,light snow,2017-12-29 16:00:00,4859
None,256.58,0,0,90,Haze,haze,2017-12-29 16:00:00,4859
None,256.58,0,0,90,Snow,light snow,2017-12-29 17:00:00,4564
None,256.58,0,0,90,Haze,haze,2017-12-29 17:00:00,4564
None,256.61,0,0,90,Snow,light snow,2017-12-29 18:00:00,3929
None,256.61,0,0,90,Haze,haze,2017-12-29 18:00:00,3929
None,256.53,0,0,90,Snow,light snow,2017-12-29 19:00:00,0
None,255.93,0,0,90,Snow,light snow,2017-12-29 20:00:00,2470
None,255.08,0,0,40,Clouds,scattered clouds,2017-12-29 21:00:00,2554
None,254.65,0,0,1,Clear,sky is clear,2017-12-29 22:00:00,3725
None,253.72,0,0,1,Clear,sky is clear,2017-12-29 23:00:00,1684
None,252.94,0,0,1,Clear,sky is clear,2017-12-30 00:00:00,1092
None,251.79,0,0,1,Clear,sky is clear,2017-12-30 01:00:00,666
None,251.07,0,0,1,Clear,sky is clear,2017-12-30 02:00:00,487
None,250.44,0,0,1,Clear,sky is clear,2017-12-30 03:00:00,349
None,249.69,0,0,1,Clear,sky is clear,2017-12-30 04:00:00,339
None,249.07,0,0,1,Clear,sky is clear,2017-12-30 05:00:00,601
None,248.44,0,0,1,Clear,sky is clear,2017-12-30 06:00:00,1006
None,247.84,0,0,5,Clear,sky is clear,2017-12-30 07:00:00,1216
None,247.29,0,0,5,Clear,sky is clear,2017-12-30 08:00:00,1681
None,247.15,0,0,5,Clear,sky is clear,2017-12-30 09:00:00,2412
None,247.79,0,0,5,Clear,sky is clear,2017-12-30 10:00:00,3188
None,248.84,0,0,5,Clear,sky is clear,2017-12-30 11:00:00,3716
None,249.53,0,0,5,Clear,sky is clear,2017-12-30 12:00:00,4160
None,250.38,0,0,1,Clear,sky is clear,2017-12-30 13:00:00,4197
None,251.5,0,0,5,Clear,sky is clear,2017-12-30 14:00:00,4003
None,251.69,0,0,1,Clear,sky is clear,2017-12-30 15:00:00,3831
None,251.68,0,0,40,Clouds,scattered clouds,2017-12-30 16:00:00,4288
None,251.54,0,0,40,Clouds,scattered clouds,2017-12-30 17:00:00,4376
None,250.61,0,0,1,Clear,sky is clear,2017-12-30 18:00:00,4514
None,250.46,0,0,40,Clouds,scattered clouds,2017-12-30 19:00:00,3380
None,250.68,0,0,40,Clouds,scattered clouds,2017-12-30 20:00:00,2597
None,251.23,0,0,75,Clouds,broken clouds,2017-12-30 21:00:00,2271
None,251.15,0,0,1,Clear,sky is clear,2017-12-30 22:00:00,2352
None,251.38,0,0,1,Clear,sky is clear,2017-12-30 23:00:00,2680
None,251.15,0,0,1,Clear,sky is clear,2017-12-31 00:00:00,1000
None,251.01,0,0,1,Clear,sky is clear,2017-12-31 01:00:00,711
None,250.93,0,0,1,Clear,sky is clear,2017-12-31 02:00:00,519
None,250.36,0,0,1,Clear,sky is clear,2017-12-31 03:00:00,303
None,249.99,0,0,1,Clear,sky is clear,2017-12-31 04:00:00,285
None,249.15,0,0,1,Clear,sky is clear,2017-12-31 05:00:00,457
None,248.31,0,0,1,Clear,sky is clear,2017-12-31 06:00:00,0
None,247.15,0,0,5,Clear,sky is clear,2017-12-31 07:00:00,959
None,246.36,0,0,5,Clear,sky is clear,2017-12-31 08:00:00,1319
None,246.15,0,0,1,Clear,sky is clear,2017-12-31 09:00:00,2384
None,246.68,0,0,5,Clear,sky is clear,2017-12-31 10:00:00,3504
None,247.37,0,0,1,Clear,sky is clear,2017-12-31 11:00:00,3404
None,249.14,0,0,5,Clear,sky is clear,2017-12-31 12:00:00,3438
None,250.22,0,0,5,Clear,sky is clear,2017-12-31 13:00:00,3212
None,251.15,0,0,1,Clear,sky is clear,2017-12-31 14:00:00,3410
None,251.93,0,0,1,Clear,sky is clear,2017-12-31 15:00:00,3635
None,252.46,0,0,1,Clear,sky is clear,2017-12-31 16:00:00,3802
None,252,0,0,1,Clear,sky is clear,2017-12-31 17:00:00,3513
None,250.92,0,0,5,Clear,sky is clear,2017-12-31 18:00:00,0
None,249.84,0,0,1,Clear,sky is clear,2017-12-31 19:00:00,2995
None,249.79,0,0,5,Clear,sky is clear,2017-12-31 20:00:00,2731
None,249.61,0,0,5,Clear,sky is clear,2017-12-31 21:00:00,2483
None,249.5,0,0,1,Clear,sky is clear,2017-12-31 22:00:00,2041
None,249.45,0,0,1,Clear,sky is clear,2017-12-31 23:00:00,1580
New Years Day,249.36,0,0,1,Clear,sky is clear,2018-01-01 00:00:00,1478
None,249.08,0,0,1,Clear,sky is clear,2018-01-01 01:00:00,1408
None,248.86,0,0,1,Clear,sky is clear,2018-01-01 02:00:00,931
None,248.72,0,0,1,Clear,sky is clear,2018-01-01 03:00:00,585
None,248.43,0,0,1,Clear,sky is clear,2018-01-01 04:00:00,381
None,248.07,0,0,1,Clear,sky is clear,2018-01-01 05:00:00,434
None,248.15,0,0,1,Clear,sky is clear,2018-01-01 06:00:00,686
None,247.76,0,0,1,Clear,sky is clear,2018-01-01 07:00:00,677
None,247.45,0,0,5,Clear,sky is clear,2018-01-01 08:00:00,811
None,247.43,0,0,1,Clear,sky is clear,2018-01-01 09:00:00,1122
None,248.91,0,0,1,Clear,sky is clear,2018-01-01 10:00:00,1738
None,250.65,0,0,1,Clear,sky is clear,2018-01-01 11:00:00,2421
None,251.99,0,0,1,Clear,sky is clear,2018-01-01 12:00:00,2908
None,253.29,0,0,1,Clear,sky is clear,2018-01-01 13:00:00,2985
None,254.79,0,0,5,Clear,sky is clear,2018-01-01 14:00:00,3214
None,255.46,0,0,1,Clear,sky is clear,2018-01-01 15:00:00,3410
None,255.79,0,0,5,Clear,sky is clear,2018-01-01 16:00:00,3290
None,255.15,0,0,1,Clear,sky is clear,2018-01-01 17:00:00,3079
None,253.86,0,0,5,Clear,sky is clear,2018-01-01 18:00:00,2891
None,253.31,0,0,1,Clear,sky is clear,2018-01-01 19:00:00,2199
None,252.43,0,0,5,Clear,sky is clear,2018-01-01 20:00:00,1738
None,251.72,0,0,1,Clear,sky is clear,2018-01-01 21:00:00,1555
None,251.53,0,0,1,Clear,sky is clear,2018-01-01 22:00:00,1213
None,251,0,0,1,Clear,sky is clear,2018-01-01 23:00:00,830
None,251.14,0,0,1,Clear,sky is clear,2018-01-02 00:00:00,477
None,251.07,0,0,1,Mist,mist,2018-01-02 01:00:00,279
None,250.86,0,0,1,Clear,sky is clear,2018-01-02 02:00:00,205
None,250.86,0,0,1,Clear,sky is clear,2018-01-02 03:00:00,0
None,250.72,0,0,1,Clear,sky is clear,2018-01-02 04:00:00,729
None,250.43,0,0,1,Clear,sky is clear,2018-01-02 05:00:00,2544
None,250.38,0,0,1,Clear,sky is clear,2018-01-02 06:00:00,4801
None,249.93,0,0,5,Clear,sky is clear,2018-01-02 07:00:00,5696
None,250.01,0,0,1,Clear,sky is clear,2018-01-02 08:00:00,4901
None,250.3,0,0,1,Clear,sky is clear,2018-01-02 09:00:00,4189
None,252.5,0,0,1,Clear,sky is clear,2018-01-02 10:00:00,4065
None,255.43,0,0,75,Clouds,broken clouds,2018-01-02 11:00:00,4172
None,257.86,0,0,75,Clouds,broken clouds,2018-01-02 12:00:00,4448
None,260.64,0,0,90,Clouds,overcast clouds,2018-01-02 13:00:00,4537
None,261.72,0,0,90,Clouds,overcast clouds,2018-01-02 14:00:00,4698
None,262.15,0,0,1,Clear,sky is clear,2018-01-02 15:00:00,5232
None,262.29,0,0,90,Snow,light snow,2018-01-02 16:00:00,5618
None,262.29,0,0,90,Mist,mist,2018-01-02 16:00:00,5618
None,262.37,0,0,90,Snow,light snow,2018-01-02 17:00:00,0
None,262.37,0,0,90,Mist,mist,2018-01-02 17:00:00,5178
None,262.45,0,0,90,Snow,light snow,2018-01-02 18:00:00,3625
None,262.45,0,0,90,Haze,haze,2018-01-02 18:00:00,3625
None,263.07,0,0,90,Snow,light snow,2018-01-02 19:00:00,2669
None,263.07,0,0,90,Mist,mist,2018-01-02 19:00:00,2669
None,263.29,0,0,90,Snow,light snow,2018-01-02 20:00:00,2056
None,263.53,0,0,90,Snow,light snow,2018-01-02 21:00:00,2834
None,262.94,0,0,90,Snow,light snow,2018-01-02 22:00:00,2785
None,262.48,0,0,90,Snow,light snow,2018-01-02 23:00:00,1118
None,261.79,0,0,90,Snow,light snow,2018-01-03 00:00:00,599
None,260.86,0,0,90,Haze,haze,2018-01-03 01:00:00,353
None,260.86,0,0,90,Snow,light snow,2018-01-03 01:00:00,353
None,260.06,0,0,90,Haze,haze,2018-01-03 02:00:00,283
None,258.72,0,0,40,Clouds,scattered clouds,2018-01-03 03:00:00,358
None,258.15,0,0,1,Clear,sky is clear,2018-01-03 04:00:00,811
None,257,0,0,1,Clear,sky is clear,2018-01-03 05:00:00,2739
None,256.58,0,0,1,Clear,sky is clear,2018-01-03 06:00:00,5225
None,255.93,0,0,40,Clouds,scattered clouds,2018-01-03 07:00:00,6017
None,255.43,0,0,5,Clear,sky is clear,2018-01-03 08:00:00,5398
None,255.23,0,0,1,Clear,sky is clear,2018-01-03 09:00:00,5142
None,256.08,0,0,5,Clear,sky is clear,2018-01-03 10:00:00,4092
None,256.23,0,0,40,Clouds,scattered clouds,2018-01-03 11:00:00,0
None,257.29,0,0,40,Clouds,scattered clouds,2018-01-03 12:00:00,4600
None,257.93,0,0,40,Clouds,scattered clouds,2018-01-03 13:00:00,4591
None,258.38,0,0,20,Clouds,few clouds,2018-01-03 14:00:00,4983
None,258.46,0,0,5,Clear,sky is clear,2018-01-03 15:00:00,5589
None,258.46,0,0,5,Clear,sky is clear,2018-01-03 16:00:00,6317
None,257.44,0,0,5,Clear,sky is clear,2018-01-03 17:00:00,5951
None,256.22,0,0,5,Clear,sky is clear,2018-01-03 18:00:00,4350
None,255.72,0,0,5,Clear,sky is clear,2018-01-03 19:00:00,3144
None,254.82,0,0,5,Clear,sky is clear,2018-01-03 20:00:00,2319
None,254.22,0,0,5,Clear,sky is clear,2018-01-03 21:00:00,2105
None,253.62,0,0,1,Clear,sky is clear,2018-01-03 22:00:00,1517
None,253.51,0,0,1,Clear,sky is clear,2018-01-03 23:00:00,991
None,252.82,0,0,1,Clear,sky is clear,2018-01-04 00:00:00,529
None,253.22,0,0,90,Clouds,overcast clouds,2018-01-04 01:00:00,343
None,253.86,0,0,90,Clouds,overcast clouds,2018-01-04 02:00:00,247
None,253.86,0,0,40,Clouds,scattered clouds,2018-01-04 03:00:00,325
None,253.22,0,0,40,Clouds,scattered clouds,2018-01-04 04:00:00,827
None,252.72,0,0,1,Clear,sky is clear,2018-01-04 05:00:00,2757
None,252.14,0,0,1,Clear,sky is clear,2018-01-04 06:00:00,5323
None,252.72,0,0,40,Clouds,scattered clouds,2018-01-04 07:00:00,6420
None,252.14,0,0,90,Clouds,overcast clouds,2018-01-04 08:00:00,4478
None,253.38,0,0,90,Clouds,overcast clouds,2018-01-04 09:00:00,4885
None,253.85,0,0,75,Clouds,broken clouds,2018-01-04 10:00:00,4259
None,254.29,0,0,90,Clouds,overcast clouds,2018-01-04 11:00:00,4446
None,255.15,0,0,40,Clouds,scattered clouds,2018-01-04 12:00:00,4738
None,256.01,0,0,40,Clouds,scattered clouds,2018-01-04 13:00:00,4656
None,256.61,0,0,40,Clouds,scattered clouds,2018-01-04 14:00:00,5094
None,256.95,0,0,40,Clouds,scattered clouds,2018-01-04 15:00:00,5442
None,257.28,0,0,40,Clouds,scattered clouds,2018-01-04 16:00:00,6450
None,256.68,0,0,40,Clouds,scattered clouds,2018-01-04 17:00:00,5993
None,255.81,0,0,40,Clouds,scattered clouds,2018-01-04 18:00:00,4377
None,255.43,0,0,20,Clouds,few clouds,2018-01-04 19:00:00,3071
None,254.01,0,0,5,Clear,sky is clear,2018-01-04 20:00:00,2646
None,253.21,0,0,5,Clear,sky is clear,2018-01-04 21:00:00,3933
None,252.21,0,0,1,Clear,sky is clear,2018-01-04 22:00:00,2422
None,251.35,0,0,1,Clear,sky is clear,2018-01-04 23:00:00,1185
None,250.75,0,0,1,Clear,sky is clear,2018-01-05 00:00:00,630
None,249.88,0,0,1,Clear,sky is clear,2018-01-05 01:00:00,379
None,250.08,0,0,1,Clear,sky is clear,2018-01-05 02:00:00,301
None,249.79,0,0,1,Clear,sky is clear,2018-01-05 03:00:00,335
None,249.01,0,0,1,Clear,sky is clear,2018-01-05 04:00:00,813
None,249.65,0,0,1,Clear,sky is clear,2018-01-05 05:00:00,2629
None,249.54,0,0,1,Clear,sky is clear,2018-01-05 06:00:00,5002
None,249.38,0,0,5,Clear,sky is clear,2018-01-05 07:00:00,0
None,248.79,0,0,5,Clear,sky is clear,2018-01-05 08:00:00,4742
None,249,0,0,1,Haze,haze,2018-01-05 09:00:00,4704
None,250.72,0,0,5,Clear,sky is clear,2018-01-05 10:00:00,4279
None,252.08,0,0,5,Clear,sky is clear,2018-01-05 11:00:00,4566
None,253.41,0,0,40,Clouds,scattered clouds,2018-01-05 12:00:00,4989
None,255.01,0,0,40,Clouds,scattered clouds,2018-01-05 13:00:00,4968
None,255.94,0,0,1,Clear,sky is clear,2018-01-05 14:00:00,5315
None,256.28,0,0,40,Clouds,scattered clouds,2018-01-05 15:00:00,5867
